Country,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Syria,14686,5877,4800,3840,3540,3366,3014,2785,2555,2442,2641,2385,2918,2831,2256,1938,2557,3350,2367
Iraq,14351,14203,18904,21107,19153,9552,20369,21133,19855,12110,4795,3765,4337,4077,3494,2450,5174,4965,5087
Afghanistan,12935,19538,12513,8328,10527,2196,1617,1648,2017,3165,2813,1753,3417,4749,2137,1252,1759,1202,1011
Iran,10116,13791,13298,13114,11615,12863,12916,14822,14182,18553,13852,10460,13947,13887,10434,7230,12960,10425,8487
Egypt,9826,9834,12045,12085,11477,10294,8988,7778,8978,8844,8712,9267,10500,7905,5522,3348,4852,5159,4450
Turkey,5585,4844,4469,4201,3834,4144,4162,4403,4483,4958,4210,4425,4941,4614,3835,3029,3375,3215,2606
Jordan,5322,5264,5269,4664,5187,4188,4099,3876,3868,4282,3936,3917,4038,3748,3431,2927,3964,4572,3900
Uzbekistan,4612,4095,4359,3977,5194,4382,4726,5056,4770,5467,6375,4665,4015,2887,1995,1445,2317,2031,1631
Israel,3706,3802,4142,3965,3805,3996,4153,3826,4515,5612,5851,4496,5943,5755,4160,2741,3826,3744,2783
Sudan,3658,3515,3159,3580,2442,1945,2471,2628,2397,3577,3598,2930,5504,5231,3211,1883,2921,1650,1531
Armenia,3217,3437,3543,2962,2913,2722,2681,2983,2979,3442,3586,4351,6317,2591,1833,1287,1800,1762,1253
Morocco,3077,4229,4586,3710,3605,3336,3656,4399,5013,5447,4425,4513,4949,4411,4128,3137,3387,4958,3614
Lebanon,2581,2818,2971,2813,3245,2783,2879,3295,3487,3831,4254,4267,4083,4282,3818,2956,3935,4579,3662
Algeria,2123,2139,2180,1775,1669,1241,1369,1364,1305,1485,1037,1036,1300,1115,805,759,1030,875,906
SaudiArabia,2100,2135,2117,1744,1696,1463,1343,1396,1263,1418,1194,1171,1542,1210,906,735,1014,1178,1063
Yemen,1885,6029,13040,3194,3492,3532,2620,3361,3591,3134,1872,2396,4308,3366,1760,1382,1227,1607,1789
Georgia,1643,1629,1635,1410,1240,1368,1341,1490,1518,1578,1620,1554,2003,1389,964,735,886,786,493
U.A.E.,1379,1314,1370,1193,1039,910,854,707,779,697,693,758,1006,812,596,380,472,461,436
Kazakhstan,1378,1377,1310,1201,1221,1241,1202,1235,1282,1562,1630,1604,2073,2223,1906,1740,2315,2310,1493
Kuwait,1090,1177,1186,1055,1057,937,1044,973,1037,1124,1104,1017,1230,1152,1091,710,1063,1270,1018
Azerbaijan,1015,881,784,676,672,637,663,728,781,834,1071,1166,2371,1523,969,746,1164,1152,1036
Kyrgyzstan,908,715,847,790,707,652,648,542,507,574,632,597,785,656,439,356,473,582,388
Tajikistan,893,652,593,595,516,550,411,382,299,265,231,172,239,207,167,137,181,187,156
Tunisia,517,535,518,518,429,445,422,440,418,416,410,417,510,495,457,353,540,438,307
Libya,499,780,642,734,524,376,315,357,355,296,285,186,271,223,185,140,158,223,180